unique id,university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
1696,Florida International University,2018,751-800,,https://www.topuniversities.com/universities/florida-international-university,United States,Miami,North America,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_small.jpg,Public,High,16,4,XL,2
1697,Georgia State University,2018,751-800,,https://www.topuniversities.com/universities/georgia-state-university,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_small.jpg,Public,Very High,24,2,XL,1
1698,Gunma University,2018,751-800,,https://www.topuniversities.com/universities/gunma-university,Japan,Maebashi,Asia,https://www.topuniversities.com/sites/default/files/gunma-university_592560cf2aeae70239af4b77_small.jpg,Public,Very High,6,247,M,1
1699,Hacettepe University ,2018,751-800,,https://www.topuniversities.com/universities/hacettepe-university,Turkey,Ankara,Asia,https://www.topuniversities.com/sites/default/files/hacettepe-university-_592560cf2aeae70239af4d8c_small.jpg,Public,High,16,1,XL,3
1700,Kansas State University ,2018,751-800,,https://www.topuniversities.com/universities/kansas-state-university,United States,Manhattan,North America,https://www.topuniversities.com/sites/default/files/kansas-state-university_1912_small.jpg,Public,Very High,14,1,L,1
1701,Kasetsart University,2018,751-800,,https://www.topuniversities.com/universities/kasetsart-university,Thailand,Bangkok,Asia,https://www.topuniversities.com/sites/default/files/kasetsart-university_312_small.jpg,Public,High,19,671,XL,3
1702,King Faisal University,2018,751-800,,https://www.topuniversities.com/universities/king-faisal-university,Saudi Arabia,Hofuf,Asia,https://www.topuniversities.com/sites/default/files/king-faisal-university_592560cf2aeae70239af4f18_small.jpg,Public,High,17,681,XL,2
1703,Loyola University Chicago,2018,751-800,,https://www.topuniversities.com/universities/loyola-university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/loyola-university-chicago_370_small.jpg,Private,High,12,726,L,1
1704,Nagoya Institute of Technology (NIT),2018,751-800,,https://www.topuniversities.com/universities/nagoya-institute-technology-nit,Japan,Nagoya,Asia,https://www.topuniversities.com/sites/default/files/nagoya-institute-of-technology-nit_592560cf2aeae70239af4d85_small.jpg,Public,Very High,17,280,M,343
1705,Northumbria University at Newcastle,2018,751-800,,https://www.topuniversities.com/universities/northumbria-university-newcastle,United Kingdom,Newcastle upon Tyne,Europe,https://www.topuniversities.com/sites/default/files/northumbria-university-at-newcastle_592560cf2aeae70239af4c4b_small.jpg,Public,Very High,15,5,L,2
1706,Paris Lodron University of Salzburg,2018,751-800,,https://www.topuniversities.com/universities/paris-lodron-university-salzburg,Austria,Salzburg ,Europe,https://www.topuniversities.com/sites/default/files/paris-lodron-university-of-salzburg_592560cf2aeae70239af51de_small.jpg,Public,High,22,5,L,588
1707,Universidad Autónoma Metropolitana (UAM),2018,751-800,,https://www.topuniversities.com/universities/universidad-autonoma-metropolitana-uam,Mexico,Mexico City,Latin America,https://www.topuniversities.com/sites/default/files/universidad-autnoma-metropolitana-uam_592560cf2aeae70239af54af_small.jpg,Public,High,20,291,XL,3
1708,Universidad de La Sabana,2018,751-800,,https://www.topuniversities.com/universities/universidad-de-la-sabana,Colombia,Bogotá,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-la-sabana_592560cf2aeae70239af4bcf_small.jpg,Private,Medium,12,290,L,1
1709,Universidad Diego Portales (UDP),2018,751-800,,https://www.topuniversities.com/universities/universidad-diego-portales-udp,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/universidad-diego-portales-udp_159_small.jpg,Private,Medium,16,483,L,1
1710,Universidad Simón Bolívar (USB),2018,751-800,,https://www.topuniversities.com/universities/universidad-simon-bolivar-usb,Venezuela,Caracas,Latin America,https://www.topuniversities.com/sites/default/files/universidad-simn-bolvar-usb_592560cf2aeae70239af5515_small.jpg,Public,High,16,3,M,508
1711,Universidade Federal de Santa Catarina ,2018,751-800,,https://www.topuniversities.com/universities/universidade-federal-de-santa-catarina,Brazil,Florianópolis,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-de-santa-catarina_2746_small.jpg,Public,Very High,11,593,XL,3
1712,Universita' degli Studi di Ferrara,2018,751-800,,https://www.topuniversities.com/universities/universita-degli-studi-di-ferrara,Italy,Ferrara,Europe,https://www.topuniversities.com/sites/default/files/universita-degli-studi-di-ferrara_592560cf2aeae70239af4ffd_small.jpg,Public,High,27,941,L,724
1713,Università degli Studi di Perugia,2018,751-800,,https://www.topuniversities.com/universities/universita-degli-studi-di-perugia,Italy,Perugia,Europe,https://www.topuniversities.com/sites/default/files/universit-degli-studi-di-perugia_497_small.jpg,Public,Very High,24,1,L,1
1714,Università degli studi Roma Tre,2018,751-800,,https://www.topuniversities.com/universities/universita-degli-studi-roma-tre,Italy,Rome,Europe,https://www.topuniversities.com/sites/default/files/universit-degli-studi-roma-tre_15002_small.jpg,Public,Very High,32,1679,XL,1063
1715,Université de Lorraine,2018,751-800,,https://www.topuniversities.com/universities/universite-de-lorraine,France,Nancy,Europe,https://www.topuniversities.com/sites/default/files/universit-de-lorraine_592560cf2aeae70239af4c2f_small.jpg,Public,Very High,18,10045,XL,3414
1716,Université de Nantes,2018,751-800,,https://www.topuniversities.com/universities/universite-de-nantes,France,Nantes,Europe,https://www.topuniversities.com/sites/default/files/universit-de-nantes_592560cf2aeae70239af55c0_small.jpg,Public,Very High,18,3948,XL,2129
1717,Université Lumière Lyon 2,2018,751-800,,https://www.topuniversities.com/universities/universite-lumiere-lyon-2,France,Lyon,Europe,https://www.topuniversities.com/sites/default/files/universit-lumire-lyon-2_592560cf2aeae70239af4bf9_small.jpg,Public,Very High,27,4326,L,939
1718,Université Toulouse 1 Capitole,2018,751-800,,https://www.topuniversities.com/universities/universite-toulouse-1-capitole,France,Toulouse,Europe,https://www.topuniversities.com/sites/default/files/universit-toulouse-1-capitole_620_small.jpg,Public,Medium,45,4534,L,467
1719,Universiti Teknologi MARA - UiTM,2018,751-800,,https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm,Malaysia,Shah Alam,Asia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-mara-uitm_732_small.jpg,Public,Very High,15,600,XL,4
1720,University of Brescia,2018,751-800,,https://www.topuniversities.com/universities/university-brescia,Italy,Brescia,Europe,https://www.topuniversities.com/sites/default/files/university-of-brescia_592560cf2aeae70239af5666_small.jpg,Public,Very High,20,1,M,523
1721,University of Calcutta,2018,751-800,,https://www.topuniversities.com/universities/university-calcutta,India,Kolkata,Asia,https://www.topuniversities.com/sites/default/files/university-of-calcutta_592560cf2aeae70239af4ad4_small.jpg,Public,Very High,20,103,L,773
1722,University of Colombo,2018,751-800,,https://www.topuniversities.com/universities/university-colombo,Sri Lanka,Horana,Asia,https://www.topuniversities.com/sites/default/files/university-of-colombo_592560cf2aeae70239af4b0a_small.jpg,Public,High,27,107,L,837
1723,University of Hertfordshire,2018,751-800,,https://www.topuniversities.com/universities/university-hertfordshire,United Kingdom,Hatfield,Europe,https://www.topuniversities.com/sites/default/files/university-of-hertfordshire_592560cf2aeae70239af50de_small.jpg,Public,High,17,7,L,1
1724,University of Huddersfield,2018,751-800,,https://www.topuniversities.com/universities/university-huddersfield,United Kingdom,Huddersfield,Europe,https://www.topuniversities.com/sites/default/files/university-of-huddersfield_592560cf2aeae70239af4cac_small.jpg,Public,Very High,18,4,L,816
1725,University of New Hampshire,2018,751-800,,https://www.topuniversities.com/universities/university-new-hampshire,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/university-of-new-hampshire_592560cf2aeae70239af51c1_small.jpg,Public,Very High,17,768,L,862
1726,University of Pecs,2018,751-800,,https://www.topuniversities.com/universities/university-pecs,Hungary,Pécs,Europe,https://www.topuniversities.com/sites/default/files/university-of-pcs_592560cf2aeae70239af4fff_small.jpg,Public,High,10,4,L,2
1727,University of Salford,2018,751-800,,https://www.topuniversities.com/universities/university-salford,United Kingdom,Salford,Europe,https://www.topuniversities.com/sites/default/files/university-of-salford_592560cf2aeae70239af4ca5_small.jpg,Public,High,17,3783,L,1124
1728,University of Southern Queensland ,2018,751-800,,https://www.topuniversities.com/universities/university-southern-queensland,Australia,Toowoomba,Oceania,https://www.topuniversities.com/sites/default/files/university-of-southern-queensland-_592560cf2aeae70239af4dd1_small.jpg,Public,Very High,23,2,M,523
1729,University of Tulsa,2018,751-800,,https://www.topuniversities.com/universities/university-tulsa,United States,Tulsa,North America,https://www.topuniversities.com/sites/default/files/university-of-tulsa_592560cf2aeae70239af4dae_small.jpg,Private,Very High,11,550,S,376
1730,Yamaguchi University ,2018,751-800,,https://www.topuniversities.com/universities/yamaguchi-university,Japan,Yamaguchi City,Asia,https://www.topuniversities.com/sites/default/files/yamaguchi-university-_592560cf2aeae70239af4e8c_small.jpg,Public,High,9,350,M,1113
1731,Yeungnam University ,2018,751-800,,https://www.topuniversities.com/universities/yeungnam-university,South Korea,Gyeongsan,Asia,https://www.topuniversities.com/sites/default/files/yeungnam-university-_592560cf2aeae70239af4ee0_small.jpg,Private,High,14,1661,L,1478
1732,Yokohama National University,2018,751-800,,https://www.topuniversities.com/universities/yokohama-national-university,Japan,Yokohama City,Asia,https://www.topuniversities.com/sites/default/files/yokohama-national-university_592560cf2aeae70239af4d33_small.jpg,Public,Very High,13,839,M,760
1733,"Adam Mickiewicz University, Poznań",2018,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1,XL,3
1734,AGH University of Science and Technology,2018,801-1000,,https://www.topuniversities.com/universities/agh-university-science-technology,Poland,Krakow,Europe,https://www.topuniversities.com/sites/default/files/agh-university-of-science-and-technology_1461_small.jpg,Public,Very High,10,483,L,2
1735,Al-Azhar University,2018,801-1000,,https://www.topuniversities.com/universities/al-azhar-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/al-azhar-university-_592560cf2aeae70239af4f37_small.jpg,Public,High,16,20664,XL,18933
1736,Alexandru Ioan Cuza University,2018,801-1000,,https://www.topuniversities.com/universities/alexandru-ioan-cuza-university,Romania,Iași,Europe,https://www.topuniversities.com/sites/default/files/alexandru-ioan-cuza-university_592560cf2aeae70239af5052_small.jpg,Public,Very High,22,1754,L,1077
1737,Aligarh Muslim University,2018,801-1000,,https://www.topuniversities.com/universities/aligarh-muslim-university,India,Aligarh,Asia,https://www.topuniversities.com/sites/default/files/aligarh-muslim-university_592560e19988f300e2320ee7_small.jpg,Public,Very High,12,386,L,1535
1738,Ankara Üniversitesi,2018,801-1000,,https://www.topuniversities.com/universities/ankara-universitesi,Turkey,Ankara,Asia,https://www.topuniversities.com/sites/default/files/ankara-niversitesi_592560cf2aeae70239af50a5_small.jpg,Public,High,17,4,XL,4
1739,Aoyama Gakuin University,2018,801-1000,,https://www.topuniversities.com/universities/aoyama-gakuin-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/aoyama-gakuin-university_592560cf2aeae70239af4a9a_small.jpg,Private,High,20,630,L,949
1740,Athens University of Economics and Business,2018,801-1000,,https://www.topuniversities.com/universities/athens-university-economics-business,Greece,Athens,Europe,https://www.topuniversities.com/sites/default/files/athens-university-of-economics-and-business_34_small.jpg,Public,Very High,45,564,M,233
1741,Auburn University,2018,801-1000,,https://www.topuniversities.com/universities/auburn-university,United States,Auburn,North America,https://www.topuniversities.com/sites/default/files/auburn-university_592560cf2aeae70239af51d3_small.jpg,Public,Very High,18,2,L,2
1742,Australian Catholic University,2018,801-1000,,https://www.topuniversities.com/universities/australian-catholic-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/australian-catholic-university_592560cf2aeae70239af4dc8_small.jpg,Public,Very High,21,5,L,1
1743,Babes-Bolyai University,2018,801-1000,,https://www.topuniversities.com/universities/babes-bolyai-university,Romania,Cluj-Napoca,Europe,https://www.topuniversities.com/sites/default/files/babes-bolyai-university_592560cf2aeae70239af5299_small.jpg,Public,High,23,1568,XL,1613
1744,Baku State University,2018,801-1000,,https://www.topuniversities.com/universities/baku-state-university,Azerbaijan,Baku,Asia,https://www.topuniversities.com/sites/default/files/baku-state-university_592560cf2aeae70239af55d4_small.jpg,Public,High,11,364,L,2106
1745,Banaras Hindu University,2018,801-1000,,https://www.topuniversities.com/universities/banaras-hindu-university,India,Varanasi,Asia,https://www.topuniversities.com/sites/default/files/banaras-hindu-university_592560cf2aeae70239af4e08_small.jpg,Public,High,18,436,XL,5525
1746,Baylor University,2018,801-1000,,https://www.topuniversities.com/universities/baylor-university,United States,Waco,North America,https://www.topuniversities.com/sites/default/files/baylor-university_804_small.jpg,Private,Very High,13,777,L,1294
1747,Benemérita Universidad Autónoma de Puebla,2018,801-1000,,https://www.topuniversities.com/universities/benemerita-universidad-autonoma-de-puebla,Mexico,Puebla,Latin America,https://www.topuniversities.com/sites/default/files/benemrita-universidad-autnoma-de-puebla_592560cf2aeae70239af5478_small.jpg,Public,Medium,32,283,XL,2414
1748,Binghamton University SUNY,2018,801-1000,,https://www.topuniversities.com/universities/binghamton-university-suny,United States,Binghamton,North America,https://www.topuniversities.com/sites/default/files/binghamton-university-suny_592560cf2aeae70239af51d4_small.jpg,Public,Very High,20,2,L,849
1749,"Birla Institute of Technology and Science, Pilani",2018,801-1000,,https://www.topuniversities.com/universities/birla-institute-technology-science-pilani,India,Pilani,Asia,https://www.topuniversities.com/sites/default/files/birla-institute-of-technology-and-science-pilani_592560cf2aeae70239af4e0e_small.jpg,Private,Very High,18,289,L,776
1750,Birzeit university,2018,801-1000,,https://www.topuniversities.com/universities/birzeit-university,"Palestinian Territory, Occupied",Birzeit,Asia,https://www.topuniversities.com/sites/default/files/birzeit-university_592560cf2aeae70239af546c_small.jpg,Private,Medium,20,530,M,572
1751,Central South University,2018,801-1000,,https://www.topuniversities.com/universities/central-south-university,China (Mainland),,Asia,https://www.topuniversities.com/sites/default/files/central-south-university_871_small.jpg,Public,Very High,20,2,XL,3
1752,Charles Sturt University ,2018,801-1000,,https://www.topuniversities.com/universities/charles-sturt-university,Australia,Thurgoona,Oceania,https://www.topuniversities.com/sites/default/files/charles-sturt-university-_592560cf2aeae70239af4dcc_small.jpg,Public,Very High,12,5,M,971
1753,Chongqing University,2018,801-1000,,https://www.topuniversities.com/universities/chongqing-university,China (Mainland),Chongqing,Asia,https://www.topuniversities.com/sites/default/files/chongqing-university_873_small.jpg,Public,Very High,14,880,XL,3
1754,Chungnam National University,2018,801-1000,,https://www.topuniversities.com/universities/chungnam-national-university,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/chungnam-national-university_592560cf2aeae70239af4b02_small.jpg,Public,Very High,10,2,L,2
1755,Corvinus University of Budapest,2018,801-1000,,https://www.topuniversities.com/universities/corvinus-university-budapest,Hungary,Budapest,Europe,https://www.topuniversities.com/sites/default/files/corvinus-university-of-budapest_592560cf2aeae70239af4fef_small.jpg,Private,High,24,1,L,533
1756,Cukurova University,2018,801-1000,,https://www.topuniversities.com/universities/cukurova-university,Turkey,Adana,Asia,https://www.topuniversities.com/sites/default/files/cukurova-university_592560cf2aeae70239af4b17_small.jpg,Public,Medium,26,2067,XL,1562
1757,Diponegoro University,2018,801-1000,,https://www.topuniversities.com/universities/diponegoro-university,Indonesia,Semarang,Asia,https://www.topuniversities.com/sites/default/files/diponegoro-university_592560cf2aeae70239af4b23_small.jpg,Public,High,14,741,XL,2852
1758,Vasyl` Stus Donetsk National University,2018,801-1000,,https://www.topuniversities.com/universities/vasyl-stus-donetsk-national-university,Ukraine,Vinnytsia,Europe,https://www.topuniversities.com/sites/default/files/vasyl-stus-donetsk-national-university_14120_small.jpg,Public,High,9,83,S,403
1759,Doshisha University,2018,801-1000,,https://www.topuniversities.com/universities/doshisha-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/doshisha-university_592560cf2aeae70239af4b25_small.jpg,Private,High,20,1213,L,1441
1760,Edinburgh Napier University,2018,801-1000,,https://www.topuniversities.com/universities/edinburgh-napier-university,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/edinburgh-napier-university_592560cf2aeae70239af55f5_small.jpg,Public,High,21,4,L,613
1761,Feng Chia University,2018,801-1000,,https://www.topuniversities.com/universities/feng-chia-university,Taiwan,Taichung City,Asia,https://www.topuniversities.com/sites/default/files/feng-chia-university_592560cf2aeae70239af4a87_small.jpg,Private,Very High,22,1425,L,855
1762,Fordham University ,2018,801-1000,,https://www.topuniversities.com/universities/fordham-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/fordham-university_814_small.jpg,Private,High,13,2,L,1
1763,Fu Jen Catholic University,2018,801-1000,,https://www.topuniversities.com/universities/fu-jen-catholic-university,Taiwan,New Taipei City,Asia,https://www.topuniversities.com/sites/default/files/fu-jen-catholic-university_217_small.jpg,Private,Medium,24,2059,L,791
1764,Gazi Üniversitesi,2018,801-1000,,https://www.topuniversities.com/universities/gazi-universitesi,Turkey,Ankara,Asia,https://www.topuniversities.com/sites/default/files/gazi-niversitesi_592560cf2aeae70239af50b8_small.jpg,Public,High,20,1067,XL,2097
1765,George Mason University,2018,801-1000,,https://www.topuniversities.com/universities/george-mason-university,United States,Fairfax,North America,https://www.topuniversities.com/sites/default/files/george-mason-university_592560cf2aeae70239af518c_small.jpg,Public,Very High,15,3,L,2
1766,Istanbul University,2018,801-1000,,https://www.topuniversities.com/universities/istanbul-university,Turkey,Istanbul,Asia,https://www.topuniversities.com/sites/default/files/istanbul-university_592560cf2aeae70239af4bac_small.jpg,Public,High,27,7,XL,2
1767,Kazakh Ablai Khan University of International Relations and World Languages,2018,801-1000,,https://www.topuniversities.com/universities/kazakh-ablai-khan-university-international-relations-world-languages,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/kazakh-ablai-khan-university-of-international-relations-and-world-languages_592560cf2aeae70239af564a_small.jpg,Public,Low,10,264,M,601
1768,Kent State University,2018,801-1000,,https://www.topuniversities.com/universities/kent-state-university,United States,Kent,North America,https://www.topuniversities.com/sites/default/files/kent-state-university_592560cf2aeae70239af5351_small.jpg,Public,Very High,19,1465,L,1252
1769,Khon Kaen University,2018,801-1000,,https://www.topuniversities.com/universities/khon-kaen-university,Thailand,Khon Kaen,Asia,https://www.topuniversities.com/sites/default/files/khon-kaen-university_592560cf2aeae70239af4bc1_small.jpg,Public,High,17,1,XL,2
1770,King Mongkut's University of Technology Thonburi ,2018,801-1000,,https://www.topuniversities.com/universities/king-mongkuts-university-technology-thonburi,Thailand,Bangkok,Asia,https://www.topuniversities.com/sites/default/files/king-mongkuts-university-of-technology-thonburi-_592560cf2aeae70239af4f2a_small.jpg,Public,High,14,322,L,986
1771,Kyushu Institute of Technology ,2018,801-1000,,https://www.topuniversities.com/universities/kyushu-institute-technology,Japan,Kitakyushu,Asia,https://www.topuniversities.com/sites/default/files/kyushu-institute-of-technology-_592560cf2aeae70239af4e7d_small.jpg,Public,Very High,15,290,M,378
1772,University of Lodz,2018,801-1000,,https://www.topuniversities.com/universities/university-lodz,Poland,Lodz,Europe,https://www.topuniversities.com/sites/default/files/university-of-lodz_592560cf2aeae70239af4be4_small.jpg,Public,Very High,10,2,L,2
1773,London South Bank University,2018,801-1000,,https://www.topuniversities.com/universities/london-south-bank-university,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-south-bank-university_592560cf2aeae70239af50e3_small.jpg,Public,High,16,5,L,814
1774,Makerere University,2018,801-1000,,https://www.topuniversities.com/universities/makerere-university,Uganda,Kampala,Africa,https://www.topuniversities.com/sites/default/files/makerere-university_15042_small.jpg,Public,High,24,2694,XL,1468
1775,Manchester Metropolitan University (MMU),2018,801-1000,,https://www.topuniversities.com/universities/manchester-metropolitan-university-mmu,United Kingdom,Manchester ,Europe,https://www.topuniversities.com/sites/default/files/manchester-metropolitan-university_1628_small.jpg,Public,Very High,15,6,L,2
1776,Marquette University,2018,801-1000,,https://www.topuniversities.com/universities/marquette-university,United States,Milwaukee,North America,https://www.topuniversities.com/sites/default/files/marquette-university_592560cf2aeae70239af4dac_small.jpg,Private,Very High,12,367,M,913
1777,Meiji University,2018,801-1000,,https://www.topuniversities.com/universities/meiji-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/meiji-university_592560cf2aeae70239af5223_small.jpg,Private,High,19,1592,XL,1693
1778,Miami University,2018,801-1000,,https://www.topuniversities.com/universities/miami-university,United States,Oxford,North America,https://www.topuniversities.com/sites/default/files/miami-university_592560cf2aeae70239af4db1_small.jpg,Public,High,17,2260,L,1062
1779,New Jersey Institute of Technology (NJIT),2018,801-1000,,https://www.topuniversities.com/universities/new-jersey-institute-technology-njit,United States,Newark,North America,https://www.topuniversities.com/sites/default/files/new-jersey-institute-of-technology-njit_592560cf2aeae70239af5376_small.jpg,Public,Very High,14,3,M,629
1780,Nicolaus Copernicus University ,2018,801-1000,,https://www.topuniversities.com/universities/nicolaus-copernicus-university,Poland,Toruń,Europe,https://www.topuniversities.com/sites/default/files/nicolaus-copernicus-university-_592560cf2aeae70239af503a_small.jpg,Public,High,10,689,L,2
1781,North-West University,2018,801-1000,,https://www.topuniversities.com/universities/north-west-university,South Africa,Potchefstroom,Africa,https://www.topuniversities.com/sites/default/files/north-west-university_592560cf2aeae70239af4f48_small.jpg,Public,Very High,20,1016,XL,1659
1782,Nottingham Trent University,2018,801-1000,,https://www.topuniversities.com/universities/nottingham-trent-university,United Kingdom,Nottingham,Europe,https://www.topuniversities.com/sites/default/files/nottingham-trent-university_592560cf2aeae70239af50e6_small.jpg,Public,High,17,7,XL,
1783,Novosibirsk State Technical University,2018,801-1000,,https://www.topuniversities.com/universities/novosibirsk-state-technical-university,Russia,Novosibirsk,Europe,https://www.topuniversities.com/sites/default/files/novosibirsk-state-technical-university_592560cf2aeae70239af5966_small.jpg,Public,Very High,10,2,M,1
1784,Ochanomizu University,2018,801-1000,,https://www.topuniversities.com/universities/ochanomizu-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/ochanomizu-university_592560cf2aeae70239af4c52_small.jpg,Public,High,9,162,S,312
1785,Ohio University,2018,801-1000,,https://www.topuniversities.com/universities/ohio-university,United States,Athens,North America,https://www.topuniversities.com/sites/default/files/ohio-university_1822_small.jpg,Public,High,20,977,L,1169
1786,Oklahoma State University ,2018,801-1000,,https://www.topuniversities.com/universities/oklahoma-state-university,United States,Stillwater,North America,https://www.topuniversities.com/sites/default/files/oklahoma-state-university-_592560cf2aeae70239af5345_small.jpg,Public,High,14,2,L,1
1787,Panjab University,2018,801-1000,,https://www.topuniversities.com/universities/panjab-university,India,Chandigarh,Asia,https://www.topuniversities.com/sites/default/files/panjab-university_592560cf2aeae70239af4e1c_small.jpg,Public,Very High,17,43,L,1048
1788,Plekhanov Russian University of Economics,2018,801-1000,,https://www.topuniversities.com/universities/plekhanov-russian-university-economics,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/plekhanov-russian-university-of-economics_2154_small.jpg,Public,Very High,9,2,L,2
1789,Pontificia Universidad Católica del Ecuador (PUCE),2018,801-1000,,https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-ecuador-puce,Ecuador,Quito,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-del-ecuador-puce_592560cf2aeae70239af5489_small.jpg,Private,Medium,16,204,L,1465
1790,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),2018,801-1000,,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-grande-do-sul-pucrs,Brazil,Porto Alegre,Latin America,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-grande-do-sul-pucrs_592560cf2aeae70239af548e_small.jpg,Private,High,23,147,L,725
1791,Prince of Songkla University,2018,801-1000,,https://www.topuniversities.com/universities/prince-songkla-university,Thailand,Hat Yai,Asia,https://www.topuniversities.com/sites/default/files/prince-of-songkla-university_507_small.jpg,Public,High,13,685,XL,3
1792,Ritsumeikan University,2018,801-1000,,https://www.topuniversities.com/universities/ritsumeikan-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/ritsumeikan-university_592560cf2aeae70239af4c92_small.jpg,Private,High,17,3,XL,2
1793,Ryerson University,2018,801-1000,,https://www.topuniversities.com/universities/ryerson-university,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/ryerson-university_592560cf2aeae70239af5166_small.jpg,Public,Very High,38,1,XL,877
1794,Saitama University,2018,801-1000,,https://www.topuniversities.com/universities/saitama-university,Japan,Saitama City,Asia,https://www.topuniversities.com/sites/default/files/saitama-university_592560cf2aeae70239af4ca2_small.jpg,Public,Very High,14,510,M,620
1795,Samara National Research University (Samara University),2018,801-1000,,https://www.topuniversities.com/universities/samara-national-research-university-samara-university,Russia,Samara,Europe,https://www.topuniversities.com/sites/default/files/samara-national-research-university-samara-university_21813_small.jpg,Public,Very High,7,1,M,1
1796,San Diego State University,2018,801-1000,,https://www.topuniversities.com/universities/san-diego-state-university,United States,San Diego ,North America,https://www.topuniversities.com/sites/default/files/san-diego-state-university_1830_small.jpg,Public,Very High,25,2092,XL,1262
1797,Seoul National University of Science and Technology,2018,801-1000,,https://www.topuniversities.com/universities/seoul-national-university-science-technology,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/seoul-national-university-of-science-and-technology_592560e09988f300e2320bcd_small.jpg,Public,Very High,17,722,M,652
1798,Institut Teknologi Sepuluh Nopember (ITS Surabaya),2018,801-1000,,https://www.topuniversities.com/universities/institut-teknologi-sepuluh-nopember-its-surabaya,Indonesia,Surabaya,Asia,https://www.topuniversities.com/sites/default/files/institut-teknologi-sepuluh-nopember_592560cf2aeae70239af4e31_small.jpg,Public,Very High,13,719,L,1
1799,Shahid Beheshti University (SBU),2018,801-1000,,https://www.topuniversities.com/universities/shahid-beheshti-university-sbu,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/shahid-beheshti-university-sbu_592560cf2aeae70239af4e58_small.jpg,Public,Very High,22,268,L,861
1800,Shinshu University ,2018,801-1000,,https://www.topuniversities.com/universities/shinshu-university,Japan,Matsumoto City,Asia,https://www.topuniversities.com/sites/default/files/shinshu-university-_592560cf2aeae70239af4e84_small.jpg,Public,Very High,10,387,M,1
1801,Southern Cross University ,2018,801-1000,,https://www.topuniversities.com/universities/southern-cross-university,Australia,Lismore,Oceania,https://www.topuniversities.com/sites/default/files/southern-cross-university-_592560cf2aeae70239af4dcf_small.jpg,Public,Very High,22,3,M,446
1802,Sumy State University,2018,801-1000,,https://www.topuniversities.com/universities/sumy-state-university,Ukraine,Sumy,Europe,https://www.topuniversities.com/sites/default/files/sumy-state-university_592560cf2aeae70239af57c7_small.jpg,Public,High,9,2,M,893
1803,Robert Gordon University,2018,801-1000,,https://www.topuniversities.com/universities/robert-gordon-university,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/robert-gordon-university_529_small.jpg,Public,High,19,2,M,518
1804,Tokai University,2018,801-1000,,https://www.topuniversities.com/universities/tokai-university,Japan,Hiratsuka City,Asia,https://www.topuniversities.com/sites/default/files/tokai-university_592560cf2aeae70239af4ce7_small.jpg,Private,High,14,991,L,2079
1805,Universidad Austral de Chile,2018,801-1000,,https://www.topuniversities.com/universities/universidad-austral-de-chile,Chile,Valdivia,Latin America,https://www.topuniversities.com/sites/default/files/universidad-austral-de-chile_1704_small.jpg,Private,High,24,312,L,733
